index,text,pred_label,confidence
11,"Chân sút Brobbey ở tuổi 21 đã có 12 bàn thắng trên mọi đấu trường mùa này cho Ajax và 32 bàn thắng ở các cấp độ trẻ của Hà Lan, trong đó có 32 bàn thắng ở các cấp độ trẻ của Hà Lan, theo nhận định của ông. Chân sút 21 tuổi Brobbey đã có 12 bàn thắng trên mọi đấu trường mùa này cho Ajax và 32 bàn thắng ở các cấp độ trẻ của Hà Lan.",2,0.9145
12,"Nhiều nữ giới chọn định cư ở quần đảo Faroe sau khi đã định cư ở quần đảo Faroe để sinh sống. Nhiều nữ giới lựa chọn theo học đại học ở các thành phố lớn, sau đó, họ định cư ở thành phố để có được cơ hội việc làm tốt hơn, phù hợp với những ngành nghề mà mình đã theo học. Nhiều người không quay trở về quần đảo Faroe sinh sống nữa",1,0.8208
20,Bệnh nhi được phẫu thuật được tiến hành khi mới 2 tuổi. PGS Hoa cho biết bệnh nhi được phẫu thuật hạ tinh hoàn 2 bên xuống bìu lúc 1 tuổi và phẫu thuật tạo hình niệu đạo đưa lỗ tiểu thấp từ vị trí tầng sinh môn lên đỉnh quy đầu khi cháu 22 tháng tuổi.,1,0.7371
22,"Hội đồng giám sát ổn định tài chính thống nhất rằng hệ thống ngân hàng của Mỹ ổn định và có sức chống chịu tốt hơn bất kỳ hệ thống tài chính nào. biết, Hội đồng giám sát ổn định tài chính thống nhất rằng hệ thống ngân hàng của Mỹ lành mạnh và có sức chống chịu. Điều chúng tôi thấy chưa rõ ràng là những căng thẳng trong hệ thống ngân hàng hiện nay chừng nào sẽ dẫn đến khủng hoảng tín dụng diện rộng.",2,0.5949
26,"Có sự khác nhau giữa các tỉnh thành, Bộ vẫn chịu trách nhiệm ban hành quy chế thi, ra đề thi, đồng thời cũng có sự khác nhau giữa các tỉnh thành, Bộ vẫn chịu trách nhiệm ban hành quy chế thi, ra đề thi, đồng thời cũng có sự khác nhau về các mặt thi. có sự khác nhau giữa các tỉnh thành, bộ vẫn chịu trách nhiệm ban hành quy chế thi, ra đề thi,",2,0.8657
28,Bộ Phát triển kỹ thuật số Nga đã thừa nhận có tới 100.000 nhân viên trong lĩnh vực công nghệ thông tin của Nga đã rời khỏi đất nước vào tháng 12. Thông báo được công bố vài tháng sau khi Bộ trưởng Bộ Phát triển kỹ thuật số Nga Maksut Shadayev thừa nhận rằng có tới 100.000 nhân viên trong lĩnh vực công nghệ thông tin của Nga đã rời khỏi đất nước vào năm ngoái,2,0.5114
41,"Chiều 28/3, tại trụ sở Bộ Công an, Bộ Công an tổ chức họp báo thông tin về tình hình, kết quả các mặt công tác công an quý I/2023, nhiệm vụ công tác trọng tâm thời gian tới. Trung tướng Tô Ân Xô. Chiều 28/3, Bộ Công an tổ chức họp báo thông tin về tình hình, kết quả các mặt công tác công an quý I/2023, nhiệm vụ công tác trọng tâm thời gian tới. Trung tướng Tô Ân Xô",2,0.8385
69,"Phường tiến hành xác minh ban đầu, Cơ quan cảnh sát điều tra Công an quận Sơn Trà đã kết luận, xác định vụ việc trên có dấu hiệu của tội phạm. phường tiến hành xác minh ban đầu Cơ quan cảnh sát điều tra Công an quận Sơn Trà đã kết luận, xác định vụ việc trên không có dấu hiệu của tội phạm,",1,0.9999
112,"Một cổ đông cho biết đã mua cổ phiếu DGC tại mức giá 140.000 đồng/cổ phiếu và hiện nay DGC đã được mua lại và đang còn giữ. có một cổ đông cho biết đã mua cổ phiếu DGC tại mức giá 140.000 đồng/cổ phiếu, có vay margin và đang còn giữ.",2,0.4834
127,"Độ tuổi trung bình của độ tuổi này dự kiến sẽ tăng lên 68 tuổi trong giai đoạn 2026 - 2046. Độ tuổi này dự kiến sẽ tăng lên 67 trong giai đoạn 2026 - 2028, tiếp đó sẽ được nâng lên mức 68 trong giai đoạn 2044 - 2046.",1,0.9973
